125,361,26,29,52.541122,13.411246,0.00
125,149,23,18,52.541119,13.411247,65.90
124,134,23,18,52.541115,13.411251,65.80
124,132,27,28,52.541115,13.411254,65.80
123,130,23,18,52.541115,13.411254,65.70
125,131,26,29,52.541111,13.411257,65.60
125,133,26,29,52.541111,13.411259,65.50
125,133,26,29,52.541107,13.411261,65.50
125,132,27,28,52.541103,13.411263,65.50
126,129,26,29,52.541103,13.411263,65.50
125,131,26,29,52.541103,13.411263,65.30
125,132,26,29,52.541100,13.411262,65.20
125,132,23,19,52.541100,13.411261,65.20
125,129,26,29,52.541100,13.411261,65.00
125,132,23,19,52.541100,13.411259,65.00
125,129,26,29,52.541100,13.411259,64.90
125,132,23,18,52.541096,13.411257,64.80
125,131,23,18,52.541096,13.411255,64.80
125,130,26,29,52.541096,13.411255,64.70
126,131,23,19,52.541092,13.411254,64.70
126,132,26,24,52.541092,13.411254,64.50
127,131,27,28,52.541092,13.411252,64.30
127,134,26,29,52.541088,13.411251,64.30
126,130,26,29,52.541088,13.411251,64.20
126,134,27,28,52.541088,13.411251,64.20
126,132,23,18,52.541088,13.411251,64.10
127,134,23,18,52.541084,13.411251,64.00
127,134,23,19,52.541084,13.411251,64.00
126,131,26,29,52.541084,13.411251,64.00
127,134,26,29,52.541080,13.411250,64.00
127,131,23,18,52.541080,13.411250,64.00
126,133,26,29,52.541080,13.411251,63.80
127,133,23,19,52.541080,13.411250,63.70
126,135,27,28,52.541080,13.411249,63.70
127,131,27,28,52.541080,13.411249,63.80
127,134,27,28,52.541080,13.411249,63.70
127,135,26,31,52.541080,13.411250,63.50
126,138,23,19,52.541077,13.411255,63.50
127,132,23,18,52.541077,13.411255,63.50
127,136,27,28,52.541073,13.411267,63.50
126,134,23,18,52.541073,13.411267,63.60
127,137,26,29,52.541073,13.411287,63.40
127,134,23,18,52.541069,13.411313,63.40
127,130,26,29,52.541069,13.411313,63.10
127,134,27,28,52.541073,13.411345,63.10
126,138,27,28,52.541073,13.411386,63.00
127,134,27,28,52.541073,13.411450,63.00
127,131,26,29,52.541073,13.411450,63.20
126,134,23,19,52.541069,13.411526,63.20
127,133,26,29,52.541069,13.411526,63.00
126,132,26,29,52.541061,13.411592,62.90
127,134,23,18,52.541054,13.411661,62.90
127,131,26,29,52.541054,13.411661,63.00
127,133,27,28,52.541039,13.411693,63.00
127,129,23,18,52.541039,13.411693,63.40
127,135,23,19,52.541042,13.411731,63.70
126,133,26,29,52.541027,13.411820,64.50
127,135,27,28,52.541004,13.411880,64.50
127,133,23,19,52.541004,13.411880,64.30
127,134,27,28,52.540985,13.411950,64.40
127,137,23,19,52.540997,13.412023,63.50
128,137,23,19,52.541012,13.412069,63.50
129,133,27,28,52.541012,13.412069,62.90
128,138,23,18,52.540997,13.412170,62.60
129,138,27,28,52.540993,13.412259,62.10
128,137,23,19,52.540985,13.412352,62.20
128,138,27,28,52.540970,13.412454,62.20
128,136,27,28,52.540970,13.412454,62.70
129,137,23,19,52.540955,13.412559,62.40
129,137,27,28,52.540932,13.412679,62.20
128,137,27,28,52.540905,13.412792,62.20
128,135,27,28,52.540905,13.412792,62.00
128,138,26,29,52.540894,13.412906,62.00
129,134,23,19,52.540894,13.412906,62.30
128,138,26,29,52.540874,13.413004,62.50
128,137,27,28,52.540855,13.413109,62.50
129,134,23,18,52.540855,13.413109,62.70
128,138,27,28,52.540840,13.413222,62.40
129,138,27,28,52.540821,13.413328,62.40
128,139,23,19,52.540802,13.413430,62.80
128,137,27,29,52.540791,13.413537,62.80
128,132,27,28,52.540791,13.413537,63.00
129,139,27,28,52.540775,13.413656,62.90
128,139,27,28,52.540775,13.413791,62.30
128,137,27,28,52.540764,13.413931,62.30
128,134,23,19,52.540764,13.413931,62.90
128,137,27,28,52.540771,13.414081,62.90
128,135,23,18,52.540771,13.414081,63.10
128,142,27,28,52.540756,13.414241,63.60
128,142,27,29,52.540726,13.414409,63.60
127,145,27,29,52.540726,13.414409,63.10
128,143,26,29,52.540707,13.414582,63.10
129,134,27,29,52.540707,13.414582,63.30
128,133,23,18,52.540680,13.414758,63.70
128,136,27,28,52.540657,13.414927,63.70
128,133,27,28,52.540657,13.414927,64.50
129,135,24,19,52.540630,13.415100,64.60
128,135,27,28,52.540600,13.415273,65.40
128,139,27,28,52.540581,13.415447,66.40
129,139,27,28,52.540565,13.415627,66.40
128,135,27,28,52.540565,13.415627,67.20
128,137,23,19,52.540543,13.415803,67.50
128,139,27,28,52.540516,13.415981,68.00
128,138,27,28,52.540493,13.416162,68.00
128,133,27,30,52.540493,13.416162,67.70
128,139,27,28,52.540462,13.416348,67.70
129,136,27,28,52.540462,13.416348,66.90
129,137,24,18,52.540436,13.416530,67.00
129,137,27,28,52.540409,13.416716,67.00
128,134,27,28,52.540409,13.416716,66.50
129,138,27,28,52.540386,13.416899,66.60
128,138,27,28,52.540359,13.417081,66.70
129,138,23,19,52.540337,13.417267,67.90
128,137,27,28,52.540325,13.417448,67.90
128,135,23,19,52.540325,13.417448,68.70
128,139,27,28,52.540295,13.417628,68.90
128,139,27,28,52.540276,13.417805,69.10
129,138,27,28,52.540253,13.417965,69.10
129,134,23,19,52.540253,13.417965,68.90
128,137,27,28,52.540230,13.418123,69.10
128,138,27,28,52.540215,13.418263,69.20
