306,516,19,21,52.610317,13.365716,121.50,12150000
306,523,18,27,52.610317,13.365715,121.10,12150300
304,517,19,21,52.610313,13.365721,120.90,12150500
304,517,19,21,52.610313,13.365733,121.20,12150700
305,519,19,21,52.610310,13.365738,121.10,12150900
304,521,19,21,52.610310,13.365742,0.00,12151100
303,517,19,21,52.610310,13.365743,0.00,12151300
302,518,19,21,52.610310,13.365741,121.20,12151500
303,529,19,26,52.610313,13.365735,121.50,12151600
305,522,18,28,52.610317,13.365729,121.50,12151800
305,356,18,22,52.610317,13.365729,121.50,12151800
305,317,19,21,52.610317,13.365729,121.50,12151800
307,526,19,21,52.610317,13.365728,121.90,12152000
308,358,19,21,52.610317,13.365728,121.90,12152000
309,318,19,21,52.610317,13.365728,121.90,12152000
309,306,19,21,52.610317,13.365727,121.90,12152100
310,306,19,21,52.610317,13.365727,121.90,12152100
310,304,19,21,52.610317,13.365727,121.90,12152100
310,305,19,21,52.610317,13.365727,121.90,12152100
310,300,19,21,52.610317,13.365727,122.00,12152200
310,303,19,21,52.610317,13.365727,122.00,12152200
310,303,19,21,52.610317,13.365727,122.00,12152200
310,303,19,21,52.610317,13.365726,122.00,12152300
310,301,19,31,52.610317,13.365726,121.90,12152300
310,302,19,21,52.610317,13.365726,121.90,12152300
310,301,19,21,52.610317,13.365726,121.90,12152300
310,302,19,21,52.610317,13.365726,122.00,12152400
310,303,19,21,52.610317,13.365726,122.00,12152400
310,296,19,21,52.610317,13.365726,122.00,12152400
310,301,19,21,52.610317,13.365726,122.10,12152500
309,301,19,21,52.610317,13.365726,122.10,12152500
309,302,19,21,52.610317,13.365726,122.10,12152500
310,301,19,21,52.610317,13.365728,122.10,12152600
310,300,19,21,52.610317,13.365728,122.40,12152600
309,287,19,21,52.610317,13.365728,122.40,12152600
309,300,19,21,52.610317,13.365728,122.40,12152600
308,299,19,21,52.610317,13.365727,122.30,12152700
307,299,19,21,52.610317,13.365727,122.30,12152700
306,298,19,21,52.610317,13.365727,122.30,12152700
306,295,19,21,52.610317,13.365724,122.30,12152800
306,299,19,21,52.610317,13.365724,122.10,12152800
306,297,19,21,52.610317,13.365724,122.10,12152800
304,296,19,21,52.610317,13.365724,122.10,12152800
304,295,19,21,52.610313,13.365721,121.80,12152900
303,297,19,21,52.610313,13.365721,121.80,12152900
303,292,19,21,52.610313,13.365721,121.80,12152900
302,291,19,22,52.610313,13.365720,121.60,12153000
