mq2,mq135,temp,hum,lat,lon,alt
3.13,102.87,29,16,52.470108,13.429854,85
3.13,100.28,29,16,52.470108,13.429854,86.2
3.13,102.87,29,16,52.470116,13.429847,86.7
3.13,102.87,29,16,52.470119,13.429844,86.7
3.13,100.28,29,16,52.470119,13.429844,86.6
3.00,100.28,29,16,52.470127,13.429834,86.6
3.00,100.28,29,16,52.470127,13.429834,86.6
3.00,100.28,29,16,52.470135,13.429824,86.7
3.00,102.87,29,16,52.470146,13.429824,86.7
3.00,95.24,29,16,52.470146,13.429824,88
2.88,100.28,29,16,52.470161,13.429821,88
3.00,95.24,29,16,52.470161,13.429821,89
2.88,97.73,29,16,52.470173,13.429818,88.2
2.88,97.73,29,16,52.470184,13.429817,87.8
2.88,97.73,29,16,52.470192,13.429809,87.8
2.88,95.24,29,16,52.470192,13.429809,85.9
2.88,100.28,29,16,52.4702,13.429795,84.4
3.00,95.24,29,16,52.470207,13.429786,83.7
2.88,100.28,29,16,52.470211,13.42977,83.7
3.00,95.24,29,16,52.470211,13.42977,81.2
2.88,102.87,29,16,52.470222,13.429752,81.2
3.00,97.73,29,16,52.470222,13.429752,78.3
3.00,102.87,29,16,52.470215,13.429717,69.8
3.00,100.28,29,16,52.470222,13.429708,69.8
3.00,97.73,29,16,52.470222,13.429708,68.9
2.88,100.28,29,16,52.47023,13.429691,67.5
2.77,100.28,29,16,52.470234,13.429682,66.3
2.88,100.28,29,16,52.470238,13.429678,66.3
2.88,95.24,29,16,52.470238,13.429678,66.5
2.88,100.28,29,16,52.470242,13.429666,66.5
2.88,97.73,29,16,52.470242,13.429666,65.3
2.88,97.73,29,16,52.470245,13.429653,65.8
2.88,97.73,29,16,52.470245,13.429641,65.8
2.88,97.73,29,16,52.470245,13.429641,63.3
3.00,100.28,29,16,52.470249,13.429632,63.3
2.88,97.73,29,16,52.470249,13.429632,62.9
2.88,97.73,29,16,52.470257,13.429627,63.2
2.88,100.28,29,16,52.470253,13.42961,61.9
2.88,97.73,29,16,52.470257,13.429592,61.9
2.88,97.73,29,16,52.470257,13.429592,60.4
2.88,100.28,29,16,52.470264,13.429577,60.4
2.88,97.73,29,16,52.470268,13.429567,59
2.88,100.28,30,16,52.470272,13.429557,59
2.88,95.24,30,16,52.470272,13.429557,58.9
2.88,97.73,30,16,52.470284,13.429551,58.9
2.88,95.24,30,16,52.470284,13.429551,62
2.88,97.73,30,16,52.470291,13.429541,64.1
2.88,100.28,30,16,52.470299,13.429538,64.1
2.88,95.24,30,16,52.470299,13.429538,64.3
2.88,97.73,30,16,52.470303,13.429525,61.4
2.88,95.24,30,16,52.47031,13.42952,60.1
2.88,95.24,30,16,52.470318,13.429516,60.1
2.88,92.79,30,16,52.470318,13.429516,60.4
2.88,97.73,30,16,52.470322,13.429506,60.4
2.88,90.39,30,16,52.470322,13.429506,58.9
2.77,95.24,30,16,52.470325,13.429495,57.8
2.77,95.24,30,16,52.470333,13.429478,57.8
2.77,92.79,30,16,52.470333,13.429478,57
2.77,95.24,30,16,52.470345,13.429474,57
2.77,92.79,30,16,52.470345,13.429474,55.8
