247,471,24,33,52.534328,13.433637,0.00
247,290,24,32,52.534328,13.433637,1.70
247,259,24,31,52.534317,13.433578,-0.80
247,254,24,32,52.534309,13.433545,-0.80
247,252,24,32,52.534309,13.433545,0.50
247,247,24,30,52.534294,13.433485,5.30
247,245,24,33,52.534290,13.433445,2.20
247,244,24,32,52.534286,13.433430,2.20
247,243,24,33,52.534286,13.433430,1.50
247,244,21,20,52.534290,13.433447,-5.00
247,243,21,20,52.534279,13.433451,-2.70
247,242,24,32,52.534275,13.433466,-2.80
247,243,21,20,52.534267,13.433494,-2.80
246,242,24,33,52.534267,13.433494,-4.10
246,246,24,32,52.534267,13.433500,-2.80
246,250,21,20,52.534260,13.433472,-2.80
246,233,24,33,52.534252,13.433431,-2.80
247,238,24,33,52.534252,13.433431,1.60
245,241,24,32,52.534256,13.433416,-3.10
245,240,24,33,52.534264,13.433400,-1.80
243,242,24,32,52.534409,13.434846,-1.80
242,243,23,33,52.534409,13.434846,4.90
243,240,24,33,52.534382,13.434789,5.20
242,231,24,32,52.534378,13.434753,8.70
241,234,21,20,52.534374,13.434729,8.70
243,237,24,33,52.534374,13.434729,8.70
242,238,24,30,52.534367,13.434731,6.00
241,238,21,20,52.534374,13.434763,2.60
242,242,21,20,52.534370,13.434766,2.60
242,238,21,20,52.534370,13.434766,0.90
241,235,24,31,52.534382,13.434789,5.60
242,237,24,32,52.534382,13.434800,-0.40
242,237,24,32,52.534378,13.434805,-1.00
242,239,24,33,52.534382,13.434801,-1.00
242,237,24,33,52.534382,13.434801,0.40
241,237,24,32,52.534382,13.434815,1.40
242,237,24,33,52.534386,13.434819,3.00
242,237,24,33,52.534386,13.434828,3.00
241,238,21,20,52.534386,13.434828,2.40
242,238,23,33,52.534386,13.434836,2.40
242,239,21,20,52.534386,13.434836,4.20
241,239,23,34,52.534386,13.434846,4.80
242,238,24,32,52.534386,13.434855,4.80
242,238,21,20,52.534386,13.434855,3.30
242,238,21,20,52.534386,13.434835,3.30
