mq2,mq135,temp,hum,lat,lon,alt
654.33,65186.10,24,33,52.534393,13.435849,10.3
654.33,2485.63,25,31,52.534378,13.435847,10.3
640.21,2191.22,25,33,52.534378,13.435847,8.5
654.33,2398.57,25,32,52.534374,13.435854,8
654.33,2441.80,25,30,52.534374,13.435842,7.9
668.68,2272.43,25,30,52.534374,13.435829,7.9
654.33,2151.46,24,33,52.534374,13.435829,7.7
640.21,2355.94,25,32,52.53437,13.435821,6.7
640.21,2313.89,22,20,52.53437,13.435827,6.3
654.33,2272.43,22,20,52.534367,13.435818,6.3
668.68,2151.46,25,32,52.534367,13.435818,5.9
668.68,2313.89,25,32,52.534367,13.435807,6.2
654.33,2313.89,22,20,52.53437,13.435785,6.2
640.21,2355.94,25,32,52.534374,13.435776,6.2
640.21,2151.46,25,33,52.534374,13.435776,7.1
654.33,2272.43,25,31,52.534374,13.435761,7.7
640.21,2272.43,24,31,52.53437,13.435768,6.9
654.33,2313.89,24,33,52.53437,13.435765,6.9
654.33,2112.26,25,31,52.53437,13.435765,7.9
654.33,2313.89,25,31,52.53437,13.435772,8.7
640.21,2231.54,25,33,52.534378,13.435781,10.1
640.21,2272.43,22,20,52.53437,13.435777,10.1
654.33,2151.46,25,31,52.53437,13.435777,8.9
640.21,2272.43,25,31,52.53437,13.435776,8.7
654.33,2231.54,22,20,52.53437,13.435763,8.2
640.21,2231.54,25,32,52.53437,13.435753,8.2
654.33,2272.43,25,31,52.53437,13.435764,8.2
654.33,2035.50,25,32,52.53437,13.435764,8
640.21,2231.54,26,31,52.534363,13.435759,5.7
640.21,2272.43,25,32,52.534359,13.435749,4.5
640.21,2272.43,25,31,52.534355,13.435728,4.5
654.33,2151.46,22,20,52.534355,13.435728,3.1
640.21,2231.54,25,32,52.534351,13.43573,2
640.21,2231.54,25,33,52.534348,13.435722,1
640.21,2313.89,20,19,52.534348,13.435723,1
640.21,2151.46,22,20,52.534348,13.435723,0.2
640.21,2191.22,21,20,52.534348,13.435706,-0.2
640.21,2272.43,25,31,52.53434,13.435704,-1.7
626.34,2191.22,25,31,52.53434,13.43571,-1.7
640.21,2035.50,25,31,52.53434,13.43571,-2.7
626.34,2272.43,25,30,52.534336,13.435724,-3.7
626.34,2272.43,22,20,52.534336,13.435733,-4.2
626.34,2191.22,25,31,52.534332,13.435742,-4.2
626.34,2035.50,22,20,52.534332,13.435742,-5.2
640.21,2231.54,22,20,52.534332,13.435732,-5.2
626.34,2231.54,21,20,52.53434,13.435729,-4.5
626.34,2151.46,25,30,52.534344,13.435741,-4.5
626.34,2035.50,25,31,52.534344,13.435741,-4.3
626.34,2272.43,22,20,52.534348,13.435746,-4.3
626.34,2112.26,25,32,52.534348,13.435746,-3.5
626.34,2151.46,25,32,52.534348,13.435756,-3.6
612.69,2151.46,22,20,52.534359,13.435749,-3.6
612.69,2035.50,22,20,52.534359,13.435749,-1.2
612.69,2191.22,22,20,52.53437,13.435755,1.6
626.34,2231.54,25,31,52.534382,13.435771,5
626.34,2112.26,22,20,52.534389,13.435793,5
612.69,2035.50,25,31,52.534389,13.435793,8.5
626.34,2151.46,22,20,52.534363,13.435748,-0.1
612.69,2272.43,22,20,52.53437,13.435733,-1
612.69,2151.46,25,32,52.534378,13.435727,-1
626.34,2035.50,21,20,52.534378,13.435727,-0.6
612.69,2151.46,22,20,52.53437,13.435721,-1
612.69,2272.43,22,20,52.534359,13.435745,-1.3
612.69,2231.54,22,20,52.534359,13.43573,-1.2
612.69,2191.22,25,31,52.534363,13.435719,-1.2
612.69,2035.50,22,20,52.534363,13.435719,-1.3
612.69,2151.46,22,20,52.534359,13.435743,-0.9
612.69,2112.26,22,20,52.534367,13.435729,-0.7
599.27,2151.46,22,20,52.534363,13.43572,-0.7
599.27,2073.61,25,31,52.534363,13.43572,4.3
612.69,2151.46,22,20,52.53437,13.435736,5.8
599.27,2151.46,25,31,52.534363,13.435724,6.2
599.27,2191.22,22,20,52.534348,13.435747,6.2
612.69,2035.50,25,32,52.534348,13.435747,7
599.27,2112.26,26,31,52.53434,13.435752,7.7
599.27,2112.26,22,20,52.534328,13.435761,7.9
599.27,2112.26,22,20,52.534325,13.43577,7.9
599.27,1997.94,26,31,52.534325,13.43577,8.5
599.27,2112.26,26,31,52.534317,13.435781,9
599.27,2191.22,25,31,52.534306,13.435774,9.9
612.69,2073.61,22,20,52.534306,13.43579,9.9
586.08,1924.40,25,32,52.534306,13.43579,10
599.27,2112.26,25,31,52.534298,13.435785,8
599.27,2191.22,25,31,52.534294,13.435778,3.4
599.27,2112.26,22,20,52.53429,13.435765,3.4
599.27,1888.42,25,33,52.53429,13.435765,1.1
586.08,2231.54,26,32,52.534245,13.435655,1.1
573.12,1997.94,25,30,52.534245,13.435655,-1.1
586.08,2073.61,22,20,52.534256,13.43562,-0.9
586.08,2191.22,25,32,52.534271,13.435634,-3.5
586.08,2073.61,22,20,52.534286,13.43566,-3.5
586.08,1960.91,25,31,52.534286,13.43566,-3.9
586.08,2151.46,25,30,52.534298,13.435665,-4.3
586.08,2191.22,25,32,52.534302,13.435676,-3.7
586.08,2112.26,22,20,52.534313,13.435664,-3.7
586.08,1960.91,26,32,52.534313,13.435664,-3.5
599.27,2035.50,26,31,52.534317,13.435665,-5.2
586.08,2151.46,25,32,52.534321,13.435668,-6.3
586.08,2073.61,25,32,52.534317,13.435655,-7.4
586.08,2112.26,26,30,52.534321,13.435654,-7.4
586.08,1960.91,25,32,52.534321,13.435654,-7.7
573.12,2112.26,25,32,52.534321,13.435646,-8
586.08,2073.61,22,20,52.534321,13.43565,-8.3
586.08,2073.61,22,20,52.534321,13.435653,-8.3
586.08,1997.94,22,20,52.534321,13.435653,-8.3
586.08,2035.50,22,20,52.534325,13.435655,-8.4
586.08,2112.26,25,31,52.534325,13.43565,-9
573.12,2151.46,22,20,52.534325,13.435643,-9
573.12,1924.40,25,32,52.534325,13.435643,-10.2
573.12,2035.50,26,31,52.534325,13.435635,-11.6
573.12,2112.26,22,20,52.534325,13.435627,-13.7
586.08,2112.26,25,32,52.534325,13.435621,-13.7
573.12,1960.91,26,31,52.534325,13.435621,-15.8
586.08,2035.50,25,31,52.53434,13.435645,-10.1
573.12,2073.61,22,20,52.534344,13.435652,-7.9
599.27,2035.50,25,31,52.534348,13.435676,-7.9
586.08,1997.94,22,20,52.534348,13.435676,-16.4
586.08,1997.94,25,31,52.534355,13.435701,-17.5
586.08,2073.61,25,31,52.534355,13.435718,-27.3
573.12,2151.46,26,31,52.534351,13.435734,-27.7
573.12,2112.26,25,31,52.534351,13.435744,-27.7
573.12,1924.40,22,20,52.534351,13.435744,-28
573.12,1997.94,20,19,52.534351,13.435755,-27.5
573.12,2073.61,22,20,52.534351,13.435765,-26.5
586.08,2073.61,26,31,52.534351,13.435772,-26.5
573.12,1924.40,23,19,52.534351,13.435772,-25.6
573.12,2112.26,25,31,52.534348,13.435779,-24.9
573.12,2035.50,26,31,52.534348,13.435809,-24.6
573.12,1997.94,23,19,52.534351,13.435831,-24.6
573.12,1924.40,22,20,52.534351,13.435831,-24.2
573.12,2112.26,22,20,52.534355,13.435893,-23.8
573.12,2035.50,26,32,52.534355,13.435956,-23.4
573.12,2112.26,25,32,52.534359,13.436024,-23.4
573.12,1960.91,26,31,52.534359,13.436024,-23.4
573.12,2035.50,26,31,52.534363,13.436081,-23.2
573.12,1997.94,25,31,52.53437,13.436137,-22.2
573.12,2073.61,25,31,52.534374,13.436173,-21.4
573.12,1997.94,25,31,52.534374,13.43622,-21.4
573.12,1924.40,25,31,52.534374,13.43622,-20.8
573.12,2035.50,22,20,52.534386,13.436277,-18
573.12,1960.91,25,31,52.534378,13.436287,-18
560.37,1852.95,26,32,52.534378,13.436287,-12.9
573.12,2112.26,26,32,52.534374,13.436288,-17.3
573.12,2073.61,25,31,52.534374,13.436322,-16.9
573.12,1997.94,25,30,52.534382,13.436346,-15.9
560.37,2035.50,26,32,52.534382,13.43637,-15.9
573.12,1852.95,25,31,52.534382,13.43637,-13.2
560.37,2073.61,22,20,52.534374,13.436407,-13.2
560.37,1888.42,22,20,52.534374,13.436407,-4.1
560.37,2073.61,22,20,52.534382,13.4364,-1.6
560.37,1997.94,25,31,52.534405,13.43634,1.8
573.12,1997.94,22,20,52.534401,13.436346,2.2
573.12,2035.50,22,20,52.534405,13.436352,2.2
560.37,1960.91,26,30,52.534405,13.436352,2.1
560.37,2035.50,25,31,52.534386,13.436377,4.5
560.37,2073.61,26,32,52.534378,13.43638,4.5
560.37,1924.40,25,30,52.534378,13.43638,4.9
560.37,1960.91,25,31,52.534363,13.436393,6.3
560.37,2073.61,26,32,52.53437,13.436446,6.3
560.37,1924.40,26,32,52.53437,13.436446,-4.6
560.37,1997.94,26,30,52.534374,13.43651,-4.2
560.37,2035.50,25,31,52.534374,13.43654,-5.9
560.37,1997.94,25,31,52.534378,13.436547,-5.9
547.84,1960.91,25,31,52.534378,13.436547,-5.2
560.37,1960.91,26,32,52.534386,13.436555,-4.2
547.84,1997.94,25,32,52.534386,13.436563,-3.2
547.84,2035.50,26,32,52.534393,13.436549,-3.2
535.53,1888.42,25,31,52.534393,13.436549,-1.5
547.84,1997.94,22,20,52.534405,13.436561,0.7
560.37,2073.61,26,31,52.534409,13.436563,2.2
547.84,2073.61,23,19,52.534416,13.43656,3.5
560.37,1924.40,25,31,52.534416,13.436558,3.5
547.84,1852.95,26,30,52.534416,13.436558,4.7
547.84,1997.94,26,31,52.53442,13.436559,4.3
547.84,1997.94,26,32,52.53442,13.436536,2.6
547.84,2035.50,26,32,52.534424,13.436514,2.6
547.84,1852.95,22,20,52.534424,13.436514,3.2
560.37,1960.91,26,32,52.534424,13.436495,5.2
547.84,1960.91,26,31,52.534424,13.436467,4.8
547.84,2073.61,22,20,52.534424,13.436449,4.8
547.84,1888.42,25,31,52.534424,13.436449,11.5
560.37,1960.91,26,31,52.534424,13.436434,12.3
547.84,1997.94,26,31,52.534428,13.436425,12.7
547.84,2073.61,22,20,52.534431,13.436417,12.7
547.84,1888.42,26,32,52.534431,13.436417,12.7
535.53,1924.40,23,19,52.534435,13.436408,12.7
547.84,1997.94,25,31,52.534435,13.436402,12.4
547.84,1924.40,26,32,52.534439,13.436398,12.4
547.84,1817.99,26,31,52.534439,13.436398,12.3
547.84,2035.50,25,30,52.534439,13.436395,12.3
547.84,1817.99,25,31,52.534439,13.436395,12.1
560.37,1997.94,26,32,52.534439,13.436391,11.6
547.84,1888.42,26,31,52.534443,13.436388,11.6
560.37,1852.95,26,31,52.534443,13.436388,11
535.53,1960.91,26,31,52.534443,13.436386,10.2
547.84,2035.50,25,31,52.534443,13.436384,9.6
547.84,1997.94,26,30,52.534443,13.436387,9.6
560.37,1852.95,26,30,52.534443,13.436387,9.3
547.84,1960.91,26,31,52.534443,13.436389,9.2
535.53,1924.40,26,31,52.534443,13.436389,8.6
547.84,1997.94,26,32,52.534443,13.436385,8.6
547.84,1852.95,25,33,52.534443,13.436385,8
547.84,1997.94,26,31,52.534443,13.436389,7.6
547.84,1960.91,26,31,52.534443,13.436387,7.5
547.84,1997.94,26,31,52.534443,13.436399,7.5
535.53,1888.42,26,31,52.534443,13.436399,6.6
547.84,1924.40,26,33,52.534447,13.436408,6.6
547.84,1960.91,25,31,52.534447,13.43641,6.6
535.53,2035.50,23,19,52.534451,13.436407,6.3
547.84,1924.40,26,32,52.534447,13.43641,6.3
547.84,1817.99,26,31,52.534447,13.43641,6
535.53,2035.50,26,31,52.534435,13.436436,6.2
535.53,1924.40,26,31,52.534439,13.436454,7.5
547.84,1997.94,26,32,52.534447,13.436461,7.5
547.84,1852.95,23,19,52.534447,13.436461,7.5
535.53,1888.42,26,31,52.534447,13.436482,7.7
547.84,1997.94,26,31,52.534451,13.436485,7.1
535.53,1960.91,25,32,52.534451,13.43651,7.1
535.53,1783.54,26,32,52.534451,13.43651,6.6
535.53,1960.91,26,31,52.534451,13.436536,7.4
535.53,1960.91,25,31,52.534458,13.436556,8.4
547.84,1924.40,26,32,52.534462,13.436595,8.4
535.53,1817.99,26,31,52.534462,13.436595,9.6
535.53,1997.94,20,19,52.534466,13.436604,10.9
547.84,1924.40,26,31,52.534473,13.436637,11.5
535.53,1997.94,23,19,52.534466,13.436627,11.5
535.53,1888.42,26,32,52.534466,13.436627,8.1
535.53,1852.95,26,31,52.534466,13.436631,6.7
547.84,1960.91,25,31,52.534466,13.436638,5.7
535.53,1960.91,25,31,52.534462,13.436653,5.7
547.84,1817.99,26,31,52.534462,13.436653,5.6
535.53,1924.40,25,31,52.534462,13.43665,4.8
523.43,1997.94,25,31,52.53447,13.436681,2.1
547.84,1960.91,26,32,52.534477,13.436688,2.8
547.84,1924.40,26,31,52.534481,13.436691,2.8
523.43,1817.99,26,32,52.534481,13.436691,2.8
535.53,1997.94,23,19,52.534481,13.436684,2.2
547.84,1924.40,25,31,52.534485,13.436684,2.3
535.53,2035.50,25,31,52.534489,13.436666,2.3
547.84,1888.42,25,31,52.534489,13.436666,2.2
535.53,1888.42,23,19,52.534489,13.436648,2
535.53,1960.91,26,32,52.534492,13.436638,2
535.53,1960.91,25,31,52.534492,13.436631,2
535.53,1888.42,26,31,52.534492,13.436631,1.9
535.53,1924.40,26,31,52.534492,13.436624,2
535.53,1924.40,23,19,52.534496,13.43661,2.2
535.53,1960.91,26,29,52.534496,13.436607,2.2
535.53,1852.95,25,31,52.534496,13.436607,2.5
535.53,1924.40,26,31,52.5345,13.436593,2.5
535.53,1960.91,25,30,52.5345,13.436584,2
535.53,1997.94,26,32,52.534496,13.436586,2
535.53,1852.95,23,19,52.534496,13.436586,1.7
535.53,1924.40,26,31,52.534504,13.43658,2
523.43,1997.94,23,19,52.534504,13.436582,1.9
535.53,1924.40,26,32,52.534504,13.436586,1.9
535.53,1817.99,26,31,52.534504,13.436586,2.7
547.84,1888.42,22,20,52.534515,13.436569,2.7
535.53,1817.99,22,20,52.534515,13.436569,2.7
535.53,1888.42,26,31,52.534519,13.436545,1.4
535.53,1960.91,20,19,52.534531,13.436527,1.4
523.43,1817.99,22,20,52.534531,13.436527,-0.5
535.53,1924.40,25,30,52.534538,13.436511,-1.6
535.53,1924.40,23,19,52.53455,13.436489,-3.4
535.53,1960.91,26,31,52.534565,13.436466,-3.4
523.43,1852.95,26,31,52.534565,13.436466,-3
523.43,1888.42,26,31,52.53458,13.436445,-3.6
535.53,1924.40,25,32,52.534584,13.436448,-3.6
535.53,1924.40,23,19,52.53458,13.436455,-3.6
523.43,1817.99,26,31,52.53458,13.436455,-7.9
535.53,1888.42,25,30,52.534576,13.436468,-8.7
523.43,1888.42,20,19,52.534569,13.436482,-10.5
523.43,1960.91,26,31,52.534561,13.436507,-10.5
523.43,1852.95,26,32,52.534561,13.436507,-10.8
523.43,1888.42,23,19,52.534554,13.436538,-10.7
523.43,1924.40,26,33,52.534546,13.436551,-11.2
523.43,1888.42,26,32,52.534538,13.436564,-11.2
523.43,1783.54,26,31,52.534538,13.436564,-12
523.43,1924.40,26,31,52.534531,13.436577,-12
511.54,1817.99,26,32,52.534531,13.436577,-12.9
535.53,1924.40,23,19,52.534527,13.4366,-13.5
523.43,1924.40,26,31,52.534519,13.436617,-13.5
523.43,1783.54,26,32,52.534519,13.436617,-14
535.53,1924.40,26,30,52.534512,13.436625,-13.9
535.53,1852.95,26,30,52.534512,13.436633,-13.7
523.43,1997.94,26,31,52.534508,13.436647,-13.7
523.43,1817.99,26,32,52.534508,13.436647,-13.5
523.43,1888.42,26,31,52.5345,13.436655,-13.1
511.54,1924.40,26,31,52.534492,13.436662,-13.3
511.54,1817.99,26,30,52.534489,13.436676,-13.3
511.54,566.03,25,30,52.534489,13.436676,-12.2
523.43,2191.22,26,30,52.534485,13.436689,-12.2
523.43,1888.42,26,31,52.534485,13.436689,-9.1
535.53,1924.40,26,31,52.534481,13.436694,-5.7
