mq2,mq135,temp,hum,lat,lon,alt
140,144,25,27,52.600033,13.370973,31.4
141,145,22,19,52.600052,13.370956,33.9
142,156,22,19,52.600075,13.370942,33.9
142,142,22,19,52.600075,13.370942,35.2
143,152,22,20,52.600094,13.370933,35.8
143,148,25,29,52.600113,13.370923,35.7
143,156,25,29,52.600128,13.370914,35.7
143,144,24,30,52.600128,13.370914,35.5
144,150,25,29,52.600143,13.370898,35.5
144,145,22,19,52.600143,13.370898,36.5
144,149,25,29,52.600159,13.370887,36.4
145,152,25,29,52.60017,13.370873,36.4
144,150,22,19,52.60017,13.370873,35.9
144,150,22,20,52.600182,13.370863,35.1
145,151,25,29,52.600189,13.370844,34.6
145,152,25,29,52.600197,13.370827,34
145,150,22,20,52.600197,13.370816,34
145,150,25,29,52.600197,13.370816,33.4
145,150,25,29,52.600204,13.370802,33.3
145,154,22,20,52.600224,13.370782,34.4
145,148,25,29,52.600231,13.37077,34.4
144,154,25,29,52.600231,13.37077,34.3
145,147,24,30,52.600239,13.370753,34.3
146,143,24,30,52.600239,13.370753,33.7
145,154,24,30,52.600243,13.370741,33.1
145,155,21,19,52.600246,13.370729,32.7
145,153,24,30,52.600254,13.370717,32.7
147,143,24,30,52.600254,13.370717,32.7
146,155,25,29,52.600266,13.370707,32.7
146,154,24,30,52.600273,13.370701,32.5
146,152,24,27,52.600281,13.370689,32.5
146,146,24,30,52.600281,13.370689,32.6
146,154,24,30,52.600277,13.370702,32.4
146,153,24,30,52.600285,13.370693,32.4
146,153,24,30,52.600288,13.370681,32.4
146,145,24,30,52.600288,13.370681,32.4
146,152,24,30,52.6003,13.370667,32.4
146,149,24,30,52.6003,13.370667,32.6
146,146,24,30,52.600311,13.370649,33
147,155,24,30,52.600323,13.370635,33
147,146,24,30,52.600323,13.370635,32.4
146,157,24,30,52.600334,13.370618,32.4
146,148,21,19,52.600334,13.370618,32.2
146,148,21,19,52.600346,13.370605,32.2
146,155,21,19,52.600361,13.370589,32.2
147,147,21,19,52.600361,13.370589,33
146,155,24,30,52.600368,13.370572,33
146,150,24,31,52.600368,13.370572,32.5
146,155,24,30,52.600376,13.370557,32.5
146,147,24,30,52.600376,13.370557,32.1
145,153,24,30,52.600388,13.370541,32.1
145,148,24,30,52.600388,13.370541,31.6
145,150,24,31,52.600391,13.37053,29.5
145,155,24,30,52.600407,13.370522,29.5
145,145,24,30,52.600407,13.370522,29.6
145,154,24,30,52.600422,13.37051,29.6
145,148,24,30,52.600422,13.37051,30.5
145,154,24,30,52.60043,13.3705,30.5
145,149,24,30,52.600441,13.370485,30.5
145,146,24,30,52.600441,13.370485,31
146,154,24,30,52.600449,13.370471,31
145,144,24,30,52.600449,13.370471,30.4
145,154,21,20,52.600456,13.370461,30.3
145,149,24,30,52.600464,13.370447,30.3
145,152,24,30,52.600464,13.370447,30
145,149,24,30,52.600471,13.370437,30
145,147,24,30,52.600471,13.370437,30.2
146,153,24,31,52.600483,13.370426,30.6
145,152,24,30,52.600498,13.370415,30.6
144,155,24,30,52.600498,13.370415,31
144,146,24,30,52.60051,13.370405,31.1
144,153,24,30,52.600517,13.370397,31.7
144,153,24,30,52.600529,13.370381,31.9
144,149,24,30,52.600536,13.370365,31.9
144,151,24,30,52.600536,13.370365,31.8
144,150,24,30,52.600548,13.370349,31.8
144,153,21,20,52.600555,13.370332,31.8
144,155,24,30,52.600567,13.370319,31.9
143,146,24,30,52.600578,13.370305,31.9
142,146,21,20,52.600578,13.370305,31.5
143,150,24,30,52.60059,13.370293,31.2
143,153,24,30,52.600601,13.370277,31
143,149,24,30,52.600613,13.370269,31
142,148,24,30,52.600613,13.370269,31.3
142,148,24,30,52.600624,13.370259,31.3
143,146,24,30,52.600624,13.370259,31.2
142,145,24,31,52.600624,13.370257,31.1
142,147,24,30,52.600632,13.370251,31.1
143,150,24,30,52.600632,13.370251,31.3
143,146,21,20,52.600643,13.370231,31.3
144,152,24,30,52.600647,13.370215,31.4
144,152,24,30,52.600655,13.370199,31
143,151,21,20,52.600666,13.370184,31
144,155,24,30,52.600666,13.370184,30.9
142,144,21,20,52.600677,13.370173,31.2
144,152,24,32,52.600681,13.37016,31.1
143,153,24,30,52.600689,13.370153,31.5
143,148,24,30,52.6007,13.370141,31.5
144,149,21,20,52.6007,13.370141,31.2
144,148,21,19,52.600712,13.370127,31.3
144,150,21,20,52.600723,13.370112,30.8
141,152,24,30,52.600735,13.370097,30.8
141,148,24,30,52.600735,13.370097,30.7
142,147,24,30,52.60075,13.370082,30.5
141,147,24,30,52.600761,13.370067,30.4
141,147,24,30,52.600777,13.370051,30.3
140,150,21,20,52.600792,13.370036,30.3
140,148,24,30,52.600792,13.370036,30.7
139,147,20,21,52.600803,13.37002,30.8
141,149,24,30,52.600819,13.370008,31
141,157,20,21,52.60083,13.369993,31
141,141,24,30,52.60083,13.369993,30.8
142,158,20,21,52.600838,13.369977,30.8
142,138,21,19,52.600838,13.369977,30.6
142,152,24,30,52.600853,13.369962,30.6
143,152,24,30,52.600868,13.369948,30.6
143,149,24,31,52.600868,13.369948,31.1
143,162,24,30,52.600883,13.369935,31.1
143,143,24,31,52.600883,13.369935,31.5
144,154,24,30,52.600895,13.369921,31.6
144,154,20,20,52.600914,13.369904,31.6
144,148,20,20,52.600914,13.369904,33.1
144,161,24,30,52.600933,13.369888,33.7
143,157,24,30,52.600945,13.369873,34.1
143,154,21,20,52.600964,13.369856,34.8
143,156,24,30,52.600971,13.369842,34.8
143,147,24,30,52.600971,13.369842,34.9
143,162,21,20,52.600983,13.369829,34.7
144,159,24,30,52.600994,13.369818,34.6
145,153,24,30,52.601009,13.369807,34.6
144,151,24,30,52.601009,13.369807,34.6
145,160,24,31,52.601025,13.369795,34.6
146,145,24,31,52.601025,13.369795,34.5
146,156,24,30,52.601036,13.369779,34.8
145,156,20,21,52.601051,13.369768,35.2
145,159,24,30,52.60107,13.369758,35.2
144,151,24,30,52.60107,13.369758,36.1
146,157,24,30,52.601082,13.369747,35.9
146,156,24,30,52.601093,13.36974,36.3
146,153,24,30,52.601112,13.369724,36.3
146,156,24,30,52.601112,13.369724,36.7
147,156,24,30,52.601128,13.369715,36.4
146,159,24,30,52.601135,13.369699,36.3
147,157,24,30,52.601151,13.369683,36.3
147,155,24,30,52.601162,13.36967,36.3
147,161,21,20,52.601162,13.36967,36.2
146,153,24,30,52.60117,13.369661,35.1
147,159,24,30,52.601181,13.369648,35.4
147,154,20,20,52.601192,13.369636,35.4
147,160,24,31,52.601192,13.369636,35
147,153,20,20,52.601204,13.36962,35
147,151,24,30,52.601204,13.36962,35.2
147,156,24,30,52.601215,13.369608,35
147,151,24,30,52.601227,13.369598,35
146,156,24,30,52.601227,13.369598,34.8
147,151,24,30,52.601238,13.369584,34.8
147,148,24,30,52.601246,13.369571,34.7
146,155,21,20,52.601257,13.369555,34.6
146,160,20,21,52.601269,13.369544,34.6
146,150,24,30,52.601269,13.369544,34.7
147,152,24,30,52.601284,13.369532,34.6
147,159,24,31,52.601288,13.369528,34.2
147,152,20,21,52.601299,13.369519,34.2
146,153,24,30,52.601299,13.369519,34.1
146,149,20,21,52.601307,13.369508,34.1
146,154,24,30,52.601307,13.369508,34.2
146,154,20,21,52.601315,13.369496,34.5
145,153,20,21,52.601326,13.36948,34.5
144,158,24,30,52.601326,13.36948,34.3
146,153,24,30,52.601337,13.369468,34.3
145,159,24,30,52.601337,13.369468,34
146,153,24,30,52.601349,13.369452,33.8
145,159,24,30,52.601353,13.369438,33.8
146,146,24,30,52.601353,13.369438,33.6
145,151,24,31,52.601364,13.369427,33.6
144,155,24,30,52.601364,13.369427,33.7
144,152,24,31,52.601376,13.369415,34.6
143,160,24,30,52.601383,13.369406,34.6
144,144,24,30,52.601383,13.369406,34.5
144,156,24,30,52.601387,13.369394,34.1
143,150,20,21,52.601402,13.369382,34
144,150,24,31,52.601414,13.369369,33.8
144,155,21,20,52.601425,13.36935,33.8
143,144,20,21,52.601425,13.36935,34.1
144,161,24,31,52.601437,13.369333,34.1
143,154,24,30,52.601448,13.369318,34.1
144,153,24,30,52.60146,13.369304,34.3
144,157,24,30,52.601475,13.369293,34.3
144,148,24,31,52.601475,13.369293,34.1
144,163,24,30,52.601486,13.369279,34.2
144,158,24,30,52.601498,13.369269,34.4
144,152,24,31,52.601509,13.369264,34.4
144,152,24,31,52.601509,13.369264,33.7
144,156,24,31,52.601517,13.369258,33.8
144,156,24,30,52.601524,13.369247,33.4
144,159,24,31,52.601536,13.369238,33.8
144,150,20,21,52.601547,13.369223,33.8
144,156,24,30,52.601547,13.369223,34
144,153,24,31,52.601555,13.369203,34.5
144,154,24,30,52.601563,13.369193,34.4
145,156,24,30,52.601578,13.369186,34.4
144,154,20,21,52.601589,13.36918,34.4
144,154,24,31,52.601589,13.36918,34.6
144,151,24,30,52.601601,13.369173,35.2
145,155,24,31,52.601608,13.369166,35.2
144,156,24,30,52.601616,13.369158,35.2
145,151,24,30,52.601616,13.369158,35
145,155,24,30,52.60162,13.369149,34.2
145,154,24,31,52.601631,13.369139,34.2
144,156,24,30,52.601635,13.369126,34.2
145,149,24,31,52.601635,13.369126,34.1
144,156,24,30,52.601646,13.369115,34.1
143,150,24,30,52.601646,13.369115,34
144,154,24,31,52.601658,13.369101,34
143,161,24,30,52.601669,13.369087,34
143,143,24,31,52.601669,13.369087,33.9
143,154,24,31,52.601681,13.369074,33.9
144,155,24,30,52.601681,13.369074,33.7
145,153,24,31,52.601696,13.369056,33.3
144,146,24,30,52.601704,13.369039,33
143,161,24,30,52.601719,13.369022,33
143,147,20,21,52.601719,13.369022,32.5
142,151,20,21,52.60173,13.369005,32.1
144,157,24,31,52.601746,13.368993,31.4
144,155,24,30,52.601761,13.368983,31.4
144,154,24,31,52.601761,13.368983,31.4
145,153,24,31,52.601772,13.368966,31.4
145,158,20,21,52.601784,13.368953,31.3
144,159,24,31,52.601795,13.368939,31.7
145,154,24,31,52.601803,13.368918,31.7
144,158,24,31,52.601803,13.368918,32.1
145,152,20,21,52.60181,13.368902,32.2
144,159,24,31,52.601826,13.368885,32
145,154,24,31,52.601837,13.368869,32
146,156,23,31,52.601837,13.368869,32
146,158,24,30,52.601845,13.368857,32
146,150,24,31,52.601845,13.368857,31.6
146,160,24,30,52.601849,13.368844,31.4
146,159,24,31,52.601868,13.368827,31.4
146,153,24,30,52.601868,13.368827,31.2
146,160,24,31,52.601883,13.368818,31.2
145,152,20,21,52.601883,13.368818,31.1
145,157,24,30,52.601894,13.368809,31.4
145,162,24,31,52.601906,13.368793,31.4
145,154,20,21,52.601906,13.368793,31.1
146,160,24,30,52.601913,13.368782,31
